FiscalYear,FiscalYearType,AccountName,AgencyName,OperatingUnit,Category,Sector,Amount
2008,FY 2008 Actual Base,Global Health Programs - USAID,DOS and USAID,Dominican Republic,Health,HIV/AIDS,5703000
2010,FY 2010 Actual Base,Economic Support Fund,DOS and USAID,Somalia,"Democracy, Human Rights, and Governance",Civil Society,1000000
2009,FY 2009 Actual Base,Economic Support Fund,DOS and USAID,Timor-Leste,Health,Maternal and Child Health,2400000
2011,FY 2011 Actual Base,N/A,DoD,Thailand,Peace and Security,Counter-Narcotics,1546000
2011,FY 2011 Actual Base,"Nonproliferation, Antiterrorism, Demining and Related Programs",DOS and USAID,Montenegro,Peace and Security,Stabilization Operations and Security Sector Reform,500000
2007,FY 2007 Actual Base,Development Assistance,DOS and USAID,Uganda,Economic Development,Agriculture,8000000
2014,FY 2014 Request,Economic Support Fund,DOS and USAID,Burma,Economic Development,Private Sector Competitiveness,4000000
2011,FY 2011 Actual Base,Development Assistance,DOS and USAID,Nicaragua,"Democracy, Human Rights, and Governance",Civil Society,1750000
2012,FY 2012 Actual Base,Economic Support Fund,DOS and USAID,Egypt,"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building,1392000
2008,FY 2008 Actual Base,Development Assistance,DOS and USAID,"Sudan, Pre-2011 Election",Economic Development,Economic Opportunity,7130000
2009,FY 2009 Actual Base,Economic Support Fund,DOS and USAID,Venezuela,"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building,1000000
2008,FY 2008 Actual Base,"Nonproliferation, Antiterrorism, Demining and Related Programs",DOS and USAID,Iraq,Peace and Security,Counterterrorism,2291000
2008,FY 2008 Actual Base,Food for Peace Title II,DOS and USAID,Afghanistan,Humanitarian Assistance,"Protection, Assistance and Solutions",154730000
2012,FY 2012 Actual Base,International Military Education and Training,DOS and USAID,Uruguay,Peace and Security,Stabilization Operations and Security Sector Reform,539000
2014,FY 2014 Request,International Narcotics Control and Law Enforcement,DOS and USAID,Afghanistan,Peace and Security,Counter-Narcotics,59200000
2006,FY 2006 Actual Base,Global Health Programs - USAID,DOS and USAID,Mexico,Health,HIV/AIDS,2970000
2014,FY 2014 Request,International Narcotics Control and Law Enforcement,DOS and USAID,South Africa,Peace and Security,Stabilization Operations and Security Sector Reform,1650000
2009,FY 2009 Actual Base,International Military Education and Training,DOS and USAID,Comoros,Peace and Security,Stabilization Operations and Security Sector Reform,184000
2009,FY 2009 Actual Base,Development Assistance,DOS and USAID,Honduras,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,351000
2014,FY 2014 Request,"Nonproliferation, Antiterrorism, Demining and Related Programs",DOS and USAID,Office of the Coordinator for Counterterrorism (DOS),Peace and Security,Counterterrorism,98556000
2013,FY 2013 Actual Base,Global Health Programs - USAID,DOS and USAID,Dominican Republic,Health,Maternal and Child Health,952000
2008,FY 2008 Actual Base,Development Assistance,DOS and USAID,Afghanistan,"Democracy, Human Rights, and Governance",Good Governance,4051000
2012,FY 2012 Actual Base,Development Assistance,DOS and USAID,El Salvador,Economic Development,Trade and Investment,5000000
2014,FY 2014 Request,Development Assistance,DOS and USAID,Dominican Republic,"Democracy, Human Rights, and Governance",Good Governance,2830000
2009,FY 2009 Actual Base,Development Assistance,DOS and USAID,Office of Development Partners (USAID),Environment,Environment,8650000
2012,FY 2012 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Kyrgyz Republic,Peace and Security,Combating Weapons of Mass Destruction (WMD),100000
2010,FY 2010 Actual Base,International Military Education and Training,DOS and USAID,Rwanda,Peace and Security,Stabilization Operations and Security Sector Reform,512000
2014,FY 2014 Request,Economic Support Fund,DOS and USAID,Egypt,Economic Development,Macroeconomic Foundation for Growth,7000000
2009,FY 2009 Actual Base,Global Health Programs - USAID,DOS and USAID,Madagascar,Health,Family Planning and Reproductive Health,12000000
2014,FY 2014 Request,International Narcotics Control and Law Enforcement,DOS and USAID,West Bank and Gaza,Peace and Security,Stabilization Operations and Security Sector Reform,45048000
2015,FY 2015 Request,International Military Education and Training,DOS and USAID,Mongolia,Peace and Security,Stabilization Operations and Security Sector Reform,1150000
2014,FY 2014 Request,Global Health Programs - USAID,DOS and USAID,Rwanda,Health,Maternal and Child Health,10000000
2015,FY 2015 Request,International Military Education and Training,DOS and USAID,South Sudan,Peace and Security,Stabilization Operations and Security Sector Reform,650000
2008,FY 2008 Actual Base,Global Health Programs - USAID,DOS and USAID,Ghana,Health,Family Planning and Reproductive Health,7700000
2012,FY 2012 Foreign Military Financing Base - OCO,Foreign Military Financing - OCO,DOS and USAID,Pakistan,Peace and Security,Stabilization Operations and Security Sector Reform,295408000
2010,FY 2010 Actual Base,Global Health Programs - State,DOS and USAID,Vietnam,Program Management,Direct Administrative Costs,11323000
2008,FY 2008 Actual Base,Development Assistance,DOS and USAID,India,Health,Water Supply and Sanitation,3000000
2010,FY 2010 Actual Base,Global Health Programs - USAID,DOS and USAID,Cambodia,Health,Maternal and Child Health,7770000
2006,FY 2006 Actual Base,USAID Administrative Expense,DOS and USAID,USAID Development Credit Authority Admin,Program Management,Monitoring and Evaluation,7920000
2009,FY 2009 Actual Base,Economic Support Fund,DOS and USAID,"Sudan, Pre-2011 Election",Health,Malaria,1500000
2010,FY 2010 Actual Base,Economic Support Fund,DOS and USAID,Jordan,Health,Other Public Health Threats,6500000
2010,FY 2010 Actual Base,Development Assistance,DOS and USAID,Guatemala,Economic Development,Agriculture,11985000
2011,FY 2011 Actual Base,Economic Support Fund,DOS and USAID,Afghanistan,"Democracy, Human Rights, and Governance",Good Governance,472341000
2012,FY 2012 Actual Base,Development Assistance,DOS and USAID,Guatemala,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,7665000
2012,FY 2012 Actual Base,Development Assistance,DOS and USAID,Rwanda,Economic Development,Economic Opportunity,300000
2014,FY 2014 Request,International Narcotics Control and Law Enforcement,DOS and USAID,Bangladesh,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,600000
2008,FY 2008 Actual Base,Economic Support Fund,DOS and USAID,Indonesia,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,3215000
2007,FY 2007 Actual Base,Development Assistance,DOS and USAID,Central America Regional Office (USAID),Economic Development,Trade and Investment,4078000
2011,FY 2011 Actual Base,Development Assistance,DOS and USAID,Jamaica,Environment,Environment,3000000
2009,FY 2009 Actual Base,Global Health Programs - USAID,DOS and USAID,Kenya,Health,Family Planning and Reproductive Health,17800000
2012,FY 2012 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Europe and Eurasia Regional (DOS & USAID),Peace and Security,Combating Weapons of Mass Destruction (WMD),1200000
2010,FY 2010 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Kyrgyz Republic,Economic Development,Agriculture,9589000
2006,FY 2006 Actual Base,Global Health Programs - State,DOS and USAID,Guyana,Health,HIV/AIDS,18000000
2011,FY 2011 Actual Base,International Military Education and Training,DOS and USAID,Chad,Peace and Security,Stabilization Operations and Security Sector Reform,391000
2006,FY 2006 Actual Base,Economic Support Fund,DOS and USAID,Sierra Leone,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,13000000
2010,FY 2010 Actual Base,Development Assistance,DOS and USAID,Guyana,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,180000
2007,FY 2007 Actual Supp,Economic Support Fund,DOS and USAID,Iraq,Humanitarian Assistance,"Protection, Assistance and Solutions",5000000
2007,FY 2007 Actual Base,International Narcotics Control and Law Enforcement,DOS and USAID,Colombia,"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building,1132000
2006,FY 2006 Actual Base,Development Assistance,DOS and USAID,Nigeria,Economic Development,Financial Sector,390000
2014,FY 2014 Request,Development Assistance,DOS and USAID,Guatemala,Economic Development,Private Sector Competitiveness,6795000
2014,FY 2014 Request,International Narcotics Control and Law Enforcement,DOS and USAID,Nepal,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,990000
2014,FY 2014 Request,Economic Support Fund,DOS and USAID,Haiti,Economic Development,Infrastructure,36500000
2013,FY 2013 Actual Base,International Military Education and Training,DOS and USAID,Kenya,Peace and Security,Stabilization Operations and Security Sector Reform,721000
2013,FY 2013 Actual Base,USAID Administrative Expense,DOS and USAID,USAID Capital Investment Fund,Program Management,Direct Administrative Costs,123134000
2009,FY 2009 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Kosovo,Peace and Security,Stabilization Operations and Security Sector Reform,33218000
2010,FY 2010 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Kazakhstan,Program Management,Monitoring and Evaluation,552000
2007,FY 2007 Actual Base,Economic Support Fund,DOS and USAID,Morocco,Economic Development,Private Sector Competitiveness,1626000
2006,FY 2006 Actual Base,Food for Peace Title II,DOS and USAID,Guinea,Economic Development,Agriculture,6664000
2007,FY 2007 Actual Base,Economic Support Fund,DOS and USAID,West Bank and Gaza,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,750000
2013,FY 2013 Actual Base,Development Assistance,DOS and USAID,South Africa,Education and Social Services,Basic Education,8556000
2007,FY 2007 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Macedonia,Education and Social Services,Basic Education,6606000
2015,FY 2015 Request,Development Assistance,DOS and USAID,Peru,Environment,Environment,10000000
2006,FY 2006 Actual Base,Development Assistance,DOS and USAID,Angola,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,30000
2012,FY 2012 Foreign Military Financing Base - OCO,Economic Support Fund - OCO,DOS and USAID,Afghanistan,Education and Social Services,Basic Education,97000000
2012,FY 2012 Actual Base,Economic Support Fund,DOS and USAID,Africa Regional Office (DOS),"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building,2700000
2010,FY 2010 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Armenia,Program Management,Direct Administrative Costs,3056000
2007,FY 2007 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Central Asia Regional Office (USAID),Economic Development,Infrastructure,603000
2007,FY 2007 Actual Base,Economic Support Fund,DOS and USAID,Bolivia,Economic Development,Trade and Investment,2600000
2006,FY 2006 Actual Base,Development Assistance,DOS and USAID,Afghanistan,Economic Development,Private Sector Competitiveness,2341000
2010,FY 2010 Actual Base,Development Assistance,DOS and USAID,Peru,Education and Social Services,Basic Education,3223000
2011,FY 2011 Actual Base,N/A,DoD,Comoros,Peace and Security,Counter-Narcotics,82000
2010,FY 2010 Actual Base,International Narcotics Control and Law Enforcement,DOS and USAID,Guinea-Bissau,Peace and Security,Stabilization Operations and Security Sector Reform,1500000
2007,FY 2007 Actual Base,"Nonproliferation, Antiterrorism, Demining and Related Programs",DOS and USAID,Office of the Coordinator for Counterterrorism (DOS),Peace and Security,Counterterrorism,46422000
2012,FY 2012 Actual Base,International Assistance Programs,Treasury,International Organizations and Development Institutions (US Treasury) - International Fund for Agricultural Development (IFAD),Multi-Sector,International Contributions,30000000
2009,FY 2009 Actual Base,Global Health Programs - State,DOS and USAID,"Sudan, Pre-2011 Election",Health,HIV/AIDS,6327000
2009,FY 2009 Actual Base,International Narcotics Control and Law Enforcement,DOS and USAID,Mexico,Peace and Security,Stabilization Operations and Security Sector Reform,61000000
2010,FY 2010 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Azerbaijan,Economic Development,Private Sector Competitiveness,1600000
2012,FY 2012 Actual Base,International Narcotics Control and Law Enforcement,DOS and USAID,Haiti,Peace and Security,Transnational Crime,300000
2015,FY 2015 Request,"Nonproliferation, Antiterrorism, Demining and Related Programs",DOS and USAID,Ukraine,Peace and Security,Stabilization Operations and Security Sector Reform,1440000
2012,FY 2012 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Belarus,Peace and Security,Transnational Crime,430000
2010,FY 2010 Actual Base,Economic Support Fund,DOS and USAID,Tunisia,Environment,Environment,250000
2007,FY 2007 Actual Base,Development Assistance,DOS and USAID,Democratic Republic of Congo,Economic Development,Agriculture,1609000
2008,FY 2008 Actual Base,Foreign Military Financing,DOS and USAID,Ghana,Peace and Security,Stabilization Operations and Security Sector Reform,298000
2015,FY 2015 Request,International Disaster Assistance,DOS and USAID,"Bureau for Democracy, Conflict, and Humanitarian Assistance (USAID)",Humanitarian Assistance,"Protection, Assistance and Solutions",566000000
2010,FY 2010 Actual Base,Development Assistance,DOS and USAID,"Bureau for Democracy, Conflict, and Humanitarian Assistance (USAID)",Education and Social Services,Social Services,24000000
2006,FY 2006 Actual Base,Economic Support Fund,DOS and USAID,Vietnam,Education and Social Services,Social Services,927000
2011,FY 2011 Actual Base,Development Assistance,DOS and USAID,Morocco,Environment,Environment,2826000
2013,FY 2013 Actual Base,International Narcotics Control and Law Enforcement,DOS and USAID,East Asia and Pacific Regional Office (DOS),Peace and Security,Stabilization Operations and Security Sector Reform,2000000
2006,FY 2006 Actual Base,Global Health Programs - USAID,DOS and USAID,El Salvador,Health,HIV/AIDS,1089000
2009,FY 2009 Actual Base,Global Health Programs - State,DOS and USAID,Afghanistan,Health,HIV/AIDS,500000
2015,FY 2015 Request,Economic Support Fund,DOS and USAID,Moldova,Economic Development,Trade and Investment,120000
2015,FY 2015 Request,Global Health Programs - USAID,DOS and USAID,Tanzania,Health,Malaria,46000000
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Bulgaria,Peace and Security,Transnational Crime,145000
2007,FY 2007 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Georgia,Economic Development,Private Sector Competitiveness,5668000
2012,FY 2012 Actual Base,International Assistance Programs,Treasury,International Organizations and Development Institutions (US Treasury) - Asian Development Fund (AsDF),Multi-Sector,International Contributions,100000000
2007,FY 2007 Actual Base,Development Assistance,DOS and USAID,Philippines,Program Management,Monitoring and Evaluation,57000
2014,FY 2014 Request,Development Assistance,DOS and USAID,West Africa Regional Office (USAID),Peace and Security,Counterterrorism,8000000
2009,FY 2009 Actual Base,Development Assistance,DOS and USAID,Mexico,Economic Development,Private Sector Competitiveness,6500000
2010,FY 2010 Actual Base,Development Assistance,DOS and USAID,India,Environment,Environment,12895000
2013,FY 2013 Actual Base,International Military Education and Training,DOS and USAID,Hungary,Peace and Security,Stabilization Operations and Security Sector Reform,1044000
2010,FY 2010 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Turkmenistan,Economic Development,Agriculture,885000
2010,FY 2010 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Europe and Eurasia Regional (DOS & USAID),Humanitarian Assistance,"Protection, Assistance and Solutions",1600000
2009,FY 2009 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Albania,Health,Maternal and Child Health,950000
2011,FY 2011 Actual Base,"Nonproliferation, Antiterrorism, Demining and Related Programs",DOS and USAID,Turkey,Peace and Security,Combating Weapons of Mass Destruction (WMD),925000
2015,FY 2015 Request,International Military Education and Training,DOS and USAID,Pakistan,Peace and Security,Stabilization Operations and Security Sector Reform,4800000
2006,FY 2006 Actual Base,Economic Support Fund,DOS and USAID,Middle East Partnership Initiative (DOS),Peace and Security,Conflict Mitigation and Reconciliation,4950000
2007,FY 2007 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Kyrgyz Republic,Humanitarian Assistance,"Protection, Assistance and Solutions",750000
2008,FY 2008 Actual Base,International Military Education and Training,DOS and USAID,Bosnia and Herzegovina,Peace and Security,Stabilization Operations and Security Sector Reform,978000
2012,FY 2012 Actual Base,Global Health Programs - USAID,DOS and USAID,Mozambique,Health,Nutrition,5000000
2006,FY 2006 Actual Base,Economic Support Fund,DOS and USAID,Philippines,"Democracy, Human Rights, and Governance",Good Governance,7427000
2010,FY 2010 Actual Base,International Military Education and Training,DOS and USAID,Benin,Peace and Security,Stabilization Operations and Security Sector Reform,316000
2012,FY 2012 Actual Base,Development Assistance,DOS and USAID,West Africa Regional Office (USAID),Health,Water Supply and Sanitation,6000000
2012,FY 2012 Actual Base,Global Health Programs - State,DOS and USAID,South Sudan,Health,HIV/AIDS,12036000
2013,FY 2013 Actual Base,Development Assistance,DOS and USAID,Southern Africa Regional Office (USAID),Economic Development,Trade and Investment,4429000
2013,FY 2013 Actual Base,Food for Peace Title II,DOS and USAID,South Sudan,Health,Nutrition,1913000
2014,FY 2014 Request,Development Assistance,DOS and USAID,Ecuador,"Democracy, Human Rights, and Governance",Civil Society,1500000
2012,FY 2012 Actual Base,Development Assistance,DOS and USAID,Honduras,"Democracy, Human Rights, and Governance",Good Governance,8572000
2006,FY 2006 Actual Base,Development Assistance,DOS and USAID,Bolivia,"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building,99000
2014,FY 2014 Request,Economic Support Fund,DOS and USAID,Kazakhstan,Economic Development,Private Sector Competitiveness,350000
2009,FY 2009 Actual Base,Economic Support Fund,DOS and USAID,Liberia,Education and Social Services,Social Assistance,3500000
2007,FY 2007 Actual Base,Foreign Military Financing,DOS and USAID,Haiti,Peace and Security,Stabilization Operations and Security Sector Reform,990000
2008,FY 2008 Actual Base,"Nonproliferation, Antiterrorism, Demining and Related Programs",DOS and USAID,Afghanistan,Peace and Security,Stabilization Operations and Security Sector Reform,19470000
2012,FY 2012 Actual Base,Economic Support Fund,DOS and USAID,Foreign Assistance Program Evaluation,Program Management,Monitoring and Evaluation,600000
2011,FY 2011 Actual Base,Foreign Military Financing,DOS and USAID,Indonesia,Peace and Security,Stabilization Operations and Security Sector Reform,19960000
2013,FY 2013 Actual Base,Foreign Military Financing,DOS and USAID,Philippines,Peace and Security,Stabilization Operations and Security Sector Reform,25483000
2008,FY 2008 Actual Base,Development Assistance,DOS and USAID,Sierra Leone,"Democracy, Human Rights, and Governance",Good Governance,520000
2006,FY 2006 Actual Base,Development Assistance,DOS and USAID,Philippines,Education and Social Services,Basic Education,7860000
2012,FY 2012 Actual Base,Development Assistance,DOS and USAID,Guatemala,Economic Development,Agriculture,13000000
2008,FY 2008 Actual Base,Economic Support Fund,DOS and USAID,Uganda,Economic Development,Infrastructure,8750000
2006,FY 2006 Actual Base,Global Health Programs - USAID,DOS and USAID,Mali,Health,Family Planning and Reproductive Health,6526000
2010,FY 2010 Actual Base,International Military Education and Training,DOS and USAID,Gabon,Peace and Security,Stabilization Operations and Security Sector Reform,200000
2010,FY 2010 Actual Base,Development Assistance,DOS and USAID,West Africa Regional Office (USAID),"Democracy, Human Rights, and Governance",Good Governance,885000
2008,FY 2008 Actual Base,International Narcotics Control and Law Enforcement,DOS and USAID,Dominican Republic,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,200000
2015,FY 2015 Request,Development Assistance,DOS and USAID,Mozambique,Health,Water Supply and Sanitation,1230000
2015,FY 2015 Request,Development Assistance,DOS and USAID,Central America Regional Office (USAID),"Democracy, Human Rights, and Governance",Good Governance,50000
2006,FY 2006 Actual Base,International Narcotics Control and Law Enforcement,DOS and USAID,Colombia,"Democracy, Human Rights, and Governance",Good Governance,3230000
2010,FY 2010 Actual Base,Economic Support Fund,DOS and USAID,"Sudan, Pre-2011 Election",Education and Social Services,Basic Education,22275000
2011,FY 2011 Actual Base,International Military Education and Training,DOS and USAID,Liberia,Peace and Security,Stabilization Operations and Security Sector Reform,522000
2008,FY 2008 Actual Base,Development Assistance,DOS and USAID,Africa Regional Office (USAID),Economic Development,Agriculture,8264000
2010,FY 2010 Actual Base,Economic Support Fund,DOS and USAID,Jordan,Program Management,Direct Administrative Costs,2638000
2014,FY 2014 Request,Foreign Military Financing,DOS and USAID,Kenya,Peace and Security,Stabilization Operations and Security Sector Reform,1178000
2009,FY 2009 Actual Base,Global Health Programs - USAID,DOS and USAID,Regional Office Development Mission-Asia (USAID),Health,Tuberculosis,5753000
2014,FY 2014 Request,International Military Education and Training,DOS and USAID,Cambodia,Peace and Security,Stabilization Operations and Security Sector Reform,450000
2009,FY 2009 Actual Base,Development Assistance,DOS and USAID,Zambia,Education and Social Services,Basic Education,10000000
2009,FY 2009 Actual Base,Economic Support Fund,DOS and USAID,Middle East Partnership Initiative (DOS),"Democracy, Human Rights, and Governance",Civil Society,14700000
2008,FY 2008 Actual Base,Development Assistance,DOS and USAID,Office of Development Partners (USAID),Peace and Security,Transnational Crime,700000
2007,FY 2007 Actual Base,Economic Support Fund,DOS and USAID,Vietnam,Economic Development,Private Sector Competitiveness,1230000
2014,FY 2014 Request,Development Assistance,DOS and USAID,"Bureau for Policy, Planning and Learning (USAID)",Economic Development,Trade and Investment,916000
2010,FY 2010 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Georgia,"Democracy, Human Rights, and Governance",Good Governance,5510000
2008,FY 2008 Actual Base,Food for Peace Title II,DOS and USAID,Iraq,Humanitarian Assistance,"Protection, Assistance and Solutions",23762000
2013,FY 2013 Actual Base,International Military Education and Training,DOS and USAID,Samoa,Peace and Security,Stabilization Operations and Security Sector Reform,37000
2011,FY 2011 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Uzbekistan,Peace and Security,Transnational Crime,558000
2009,FY 2009 Actual Base,International Narcotics Control and Law Enforcement,DOS and USAID,Laos,Peace and Security,Counter-Narcotics,1000000
2007,FY 2007 Actual Base,Global Health Programs - USAID,DOS and USAID,El Salvador,Health,Family Planning and Reproductive Health,2144000
2008,FY 2008 Actual Base,Foreign Military Financing,DOS and USAID,Western Hemisphere Regional Office (DOS),Peace and Security,Stabilization Operations and Security Sector Reform,7968000
2012,FY 2012 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Tajikistan,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,939000
2008,FY 2008 Actual Base,Global Health Programs - USAID,DOS and USAID,Haiti,Health,Family Planning and Reproductive Health,9200000
2011,FY 2011 Actual Base,Food for Peace Title II,DOS and USAID,Sudan,Humanitarian Assistance,"Protection, Assistance and Solutions",209133000
2012,FY 2012 Actual Base,Global Health Programs - USAID,DOS and USAID,India,Health,Maternal and Child Health,22000000
2008,FY 2008 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Bosnia and Herzegovina,Peace and Security,Transnational Crime,171000
2009,FY 2009 Actual Base,Food for Peace Title II,DOS and USAID,Burkina Faso,Economic Development,Agriculture,2592000
2008,FY 2008 Actual Base,Global Health Programs - USAID,DOS and USAID,Philippines,Health,Maternal and Child Health,3720000
2007,FY 2007 Actual Base,International Military Education and Training,DOS and USAID,Swaziland,Peace and Security,Stabilization Operations and Security Sector Reform,96000
2010,FY 2010 Actual Base,Global Health Programs - USAID,DOS and USAID,Liberia,Health,Tuberculosis,375000
2011,FY 2011 Actual Base,International Military Education and Training,DOS and USAID,Kosovo,Peace and Security,Stabilization Operations and Security Sector Reform,678000
2007,FY 2007 Actual Base,Food for Peace Title II,DOS and USAID,Madagascar,Economic Development,Infrastructure,3600000
2009,FY 2009 Actual Base,Global Health Programs - State,DOS and USAID,Cambodia,Health,HIV/AIDS,2500000
2012,FY 2012 Actual Base,Economic Support Fund,DOS and USAID,Democratic Republic of Congo,"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building,2700000
2006,FY 2006 Actual Base,Development Assistance,DOS and USAID,Ecuador,"Democracy, Human Rights, and Governance",Good Governance,475000
2009,FY 2009 Actual Base,International Military Education and Training,DOS and USAID,Nepal,Peace and Security,Stabilization Operations and Security Sector Reform,743000
2011,FY 2011 Actual Base,Global Health Programs - State,DOS and USAID,Mali,Health,HIV/AIDS,1500000
2006,FY 2006 Actual Base,Development Assistance,DOS and USAID,Ecuador,Economic Development,Private Sector Competitiveness,750000
2010,FY 2010 Actual Base,International Narcotics Control and Law Enforcement,DOS and USAID,Colombia,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,30050000
2007,FY 2007 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Uzbekistan,Health,Other Public Health Threats,823000
2006,FY 2006 Actual Base,Global Health Programs - USAID,DOS and USAID,Africa Regional Office (USAID),Health,Tuberculosis,2583000
2010,FY 2010 Actual Base,Development Assistance,DOS and USAID,Ethiopia,Education and Social Services,Basic Education,16600000
2008,FY 2008 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Georgia,"Democracy, Human Rights, and Governance",Good Governance,4328000
2008,FY 2008 Actual Base,Economic Support Fund,DOS and USAID,East Asia and Pacific Regional Office (DOS),Peace and Security,Transnational Crime,250000
2006,FY 2006 Actual Base,Global Health Programs - USAID,DOS and USAID,Senegal,Health,Family Planning and Reproductive Health,2842000
2008,FY 2008 Actual Base,"Nonproliferation, Antiterrorism, Demining and Related Programs",DOS and USAID,Azerbaijan,Peace and Security,Combating Weapons of Mass Destruction (WMD),1200000
2010,FY 2010 Actual Base,Economic Support Fund,DOS and USAID,Nepal,"Democracy, Human Rights, and Governance",Good Governance,900000
2009,FY 2009 Actual Base,International Military Education and Training,DOS and USAID,Honduras,Peace and Security,Stabilization Operations and Security Sector Reform,329000
2010,FY 2010 Actual Base,Development Assistance,DOS and USAID,Nicaragua,Program Management,Monitoring and Evaluation,76000
2013,FY 2013 Foreign Military Financing Base - OCO,Economic Support Fund - OCO,DOS and USAID,Middle East Regional Office (USAID),"Democracy, Human Rights, and Governance",Civil Society,870000
2012,FY 2012 Actual Base,Development Assistance,DOS and USAID,Latin America and Caribbean Regional Office (USAID),Economic Development,Macroeconomic Foundation for Growth,2500000
2010,FY 2010 Actual Base,Development Assistance,DOS and USAID,Rwanda,Health,Water Supply and Sanitation,1800000
2013,FY 2013 Actual Base,Development Assistance,DOS and USAID,Philippines,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,2450000
2013,FY 2013 Actual Base,Development Assistance,DOS and USAID,Africa Regional Office (USAID),"Democracy, Human Rights, and Governance",Civil Society,2000000
2015,FY 2015 Request,International Military Education and Training,DOS and USAID,Laos,Peace and Security,Stabilization Operations and Security Sector Reform,500000
2009,FY 2009 Actual Base,Economic Support Fund,DOS and USAID,Africa Regional Office (DOS),Education and Social Services,Social Services,4000000
2010,FY 2010 Actual Base,"Nonproliferation, Antiterrorism, Demining and Related Programs",DOS and USAID,Mexico,Peace and Security,Counterterrorism,3000000
2012,FY 2012 Actual Base,Economic Support Fund,DOS and USAID,South Sudan,Economic Development,Private Sector Competitiveness,13500000
2015,FY 2015 Request,Global Health Programs - State,DOS and USAID,Lesotho,Health,HIV/AIDS,27288000
2015,FY 2015 Request,Development Assistance,DOS and USAID,Vietnam,Economic Development,Trade and Investment,3600000
2008,FY 2008 Actual Base,Global Health Programs - USAID,DOS and USAID,Niger,Health,Family Planning and Reproductive Health,90000
2015,FY 2015 Request,"Nonproliferation, Antiterrorism, Demining and Related Programs",DOS and USAID,Vietnam,Peace and Security,Combating Weapons of Mass Destruction (WMD),570000
2014,FY 2014 Request,Development Assistance,DOS and USAID,Thailand,Peace and Security,Transnational Crime,450000
2009,FY 2009 Actual Base,Development Assistance,DOS and USAID,Nigeria,Economic Development,Infrastructure,3000000
2010,FY 2010 Actual Base,Development Assistance,DOS and USAID,Latin America and Caribbean Regional Office (USAID),Economic Development,Trade and Investment,10472000
2010,FY 2010 Actual Base,International Military Education and Training,DOS and USAID,Botswana,Peace and Security,Stabilization Operations and Security Sector Reform,688000
2009,FY 2009 Actual Base,Development Assistance,DOS and USAID,Cambodia,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,15000
2014,FY 2014 Request,Development Assistance,DOS and USAID,Uganda,Economic Development,Agriculture,37000000
2006,FY 2006 Actual Base,International Narcotics Control and Law Enforcement,DOS and USAID,Ecuador,Peace and Security,Counter-Narcotics,19600000
2011,FY 2011 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Moldova,Economic Development,Private Sector Competitiveness,5060000
