FiscalYear,QTR,FiscalYearType,AccountName,AgencyName,OperatingUnit,BenefitingCountry,Category,Sector,Amount
2012,4,Obligations,Development Assistance,USAID,Asia Middle East Regional,Asia Region,Peace and Security,Counterterrorism,286200
2009,2,Obligations,Economic Support Fund,USAID,Jordan,Jordan,Economic Development,Trade and Investment,3500000
2014,2,Obligations,Transition Initiatives,USAID,Sri Lanka,Sri Lanka,Program Management,Monitoring and Evaluation,2338
2012,2,Obligations,International Disaster Assistance,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Malawi,Humanitarian Assistance,"Protection, Assistance and Solutions",50000
2013,3,Obligations,Global Health & Child Survival,USAID,Mali,Mali,Health,Malaria,7767909
2012,4,Obligations,Democracy Fund,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",El Salvador,"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building,-176094.86
2013,4,Obligations,International Disaster Assistance,USAID,Eastern European Region,Eastern European Region,Program Management,Direct Administrative Costs,56109.37
2012,1,Obligations,Global Health & Child Survival,USAID,Angola,Angola,Program Management,Direct Administrative Costs,6418
2007,4,Obligations,N/A,MCC,El Salvador,El Salvador,Multi-Sector,Multi-Sector - Unspecified,154073324.95
2009,4,Obligations,Development Assistance,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Uganda,Program Management,Monitoring and Evaluation,780000
2013,2,Obligations,Economic Support Fund,USAID,Jordan,Jordan,Program Management,Monitoring and Evaluation,450189.91
2011,3,Obligations,Economic Support Fund,USAID,"Sudan, Pre-2011 Election","Sudan, Pre-2011 Election",Program Management,Direct Administrative Costs,446000
2012,4,Obligations,Development Assistance,USAID,USAID Central America Regional,Central American Region,Environment,Clean Productive Environment,5965000
2012,2,Obligations,Economic Support Fund,USAID,China,East Asia Region,Program Management,Direct Administrative Costs,244300
2010,4,Obligations,Development Assistance,USAID,Rwanda,Rwanda,Economic Development,Agriculture,11292685
2009,4,Obligations,N/A,MCC,Morocco,Morocco,Multi-Sector,Multi-Sector - Unspecified,111332.17
2012,3,Obligations,Economic Support Fund,USAID,Pakistan,Pakistan,Health,Family Planning and Reproductive Health,23125000
2011,4,Obligations,Global Health & Child Survival,USAID,Asia Middle East Regional,Asia Region,Program Management,Monitoring and Evaluation,18603
2013,4,Obligations,N/A,USAID,Latin America and Caribbean Region,Latin America and Caribbean Region,"Democracy, Human Rights, and Governance",Civil Society,1600000
2011,3,Obligations,Special Assistance Initiatives,USAID,Kosovo,Kosovo,Program Management,Direct Administrative Costs,-41280.69
2014,2,Obligations,N/A,USAID,Kenya,Kenya,Economic Development,Economic Opportunity,824.93
2012,4,Obligations,Civilian Stabilization Initiative,USAID,USAID Latin America and Caribbean Regional,Worldwide,Program Management,Direct Administrative Costs,-2589
2013,3,Obligations,N/A,USAID,"Sudan, Pre-2011 Election","Sudan, Pre-2011 Election",Health,Water Supply and Sanitation,567
2009,1,Obligations,Global Health & Child Survival,USAID,Nicaragua,Nicaragua,Health,HIV/AIDS,13656.44
2013,1,Obligations,Child Survival and Health Programs Fund,USAID,Benin,Benin,Program Management,Direct Administrative Costs,-1272.09
2014,2,Obligations,N/A,Peace Corps,Togo,Togo,,Environment - General,276416.48
2010,4,Obligations,Assist. For N.I.S Of Former Soviet Union,USAID,Georgia,Georgia,Education and Social Services,Basic Education,9000000
2012,4,Obligations,Development Assistance,USAID,"USAID Economic Growth, Education and Environment",Africa Region,Environment,Clean Productive Environment,500000
2012,2,Obligations,Global Health & Child Survival,USAID,Cote d'Ivoire,Cote d'Ivoire,Health,HIV/AIDS,332614
2013,1,Obligations,N/A,DOS,Ecuador,Ecuador,,Multi-Sector - Unspecified,357215.6
2011,2,Obligations,Development Assistance,USAID,Timor-Leste,Timor-Leste,Peace and Security,Conflict Mitigation and Reconciliation,5300000
2010,4,Obligations,Global Health & Child Survival,USAID,Tajikistan,Tajikistan,Health,Tuberculosis,895189.34
2010,4,Obligations,"Assistance for Europe, Eurasia and Central Asia",USAID,Serbia,Serbia,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,4935000
2006,4,Obligations,N/A,MCC,Cape Verde,Cape Verde,Multi-Sector,Multi-Sector - Unspecified,459877.78
2013,2,Obligations,Global Health & Child Survival,USAID,South Sudan,South Sudan,Health,Family Planning and Reproductive Health,500000
2012,3,Obligations,"Assistance for Europe, Eurasia and Central Asia",USAID,Ukraine,Ukraine,"Democracy, Human Rights, and Governance",Good Governance,475289
2009,,Obligations,N/A,USADF,Mali,Mali,,Agriculture,215384
2011,2,Obligations,N/A,MCC,Benin,Benin,Economic Development,Economic Opportunity,-2400000
2013,2,Obligations,N/A,USAID,Mali,Mali,Economic Development,Financial Sector,-14233.74
2010,2,Obligations,Development Assistance,USAID,Thailand,Thailand,"Democracy, Human Rights, and Governance",Civil Society,1670000
2009,4,Obligations,Development Assistance,USAID,Madagascar,Madagascar,Environment,Clean Productive Environment,-556.03
2013,0,Obligations,N/A,DoD,Virgin Islands,Virgin Islands,Humanitarian Assistance,Disaster Readiness,109180
2010,4,Obligations,"Assistance for Europe, Eurasia and Central Asia",USAID,Joint Eurasia Regional,Eurasia Region,Economic Development,Infrastructure,2112986
2009,3,Obligations,Global Health & Child Survival,USAID,Bolivia,Bolivia,Health,Tuberculosis,7741
2010,2,Obligations,International Disaster Assistance,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Niger,Humanitarian Assistance,Disaster Readiness,1200000
2010,1,Obligations,Development Assistance,USAID,Ethiopia,Ethiopia,Peace and Security,Conflict Mitigation and Reconciliation,-.22
2010,4,Obligations,Development Assistance,USAID,Guinea,Guinea,"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building,2487000
2011,4,Obligations,Operating Expenses,USAID,Ecuador,Worldwide,Program Management,Direct Administrative Costs,1325560.47
2009,1,Obligations,International Disaster Assistance,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Colombia,Humanitarian Assistance,"Protection, Assistance and Solutions",150000
2010,4,Obligations,Global HIV/AIDS Initiative,USAID,Lesotho,Lesotho,Health,HIV/AIDS,-1506.86
2009,2,Obligations,Operating Expenses,USAID,Nicaragua,Worldwide,Program Management,Direct Administrative Costs,549463.67
2012,4,Obligations,Economic Support Fund,USAID,USAID Regional Development Mission-Asia,East Asia Region,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,149900
2009,4,Obligations,Assist. For N.I.S Of Former Soviet Union,USAID,Georgia,Georgia,Economic Development,Infrastructure,1233848.58
2011,2,Obligations,Global HIV/AIDS Initiative,USAID,USAID Global Health,South Africa Region,Health,HIV/AIDS,-10831.48
2010,4,Obligations,Assist. For N.I.S Of Former Soviet Union,USAID,USAID Operating Expense,Worldwide,Economic Development,Infrastructure,4.18
2012,2,Obligations,"Assistance for Europe, Eurasia and Central Asia",USAID,Ukraine,Ukraine,Program Management,Direct Administrative Costs,252513.45
2009,3,Obligations,Commodity Credit Corporation,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Worldwide,Humanitarian Assistance,"Protection, Assistance and Solutions",-188.5
2014,2,Obligations,Economic Support Fund,USAID,Kazakhstan,Kazakhstan,Economic Development,Macroeconomic Foundation for Growth,183000
2011,3,Obligations,Development Assistance,USAID,Cambodia,Cambodia,Program Management,Monitoring and Evaluation,-50000
2012,3,Obligations,International Disaster Assistance,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Senegal,Humanitarian Assistance,Disaster Readiness,-8782.110000000001
2012,3,Obligations,Development Assistance,USAID,Bolivia,Bolivia,Environment,Natural Resources and Biodiversity,9000
2009,,Obligations,N/A,IAF,Bolivia,Bolivia,,Economic Opportunity,691432
2011,4,Obligations,"Assistance for Europe, Eurasia and Central Asia",USAID,Tajikistan,Tajikistan,Program Management,Direct Administrative Costs,624544.07
2012,4,Obligations,Development Assistance,USAID,Rwanda,Rwanda,Health,Water Supply and Sanitation,3799971.39
2010,4,Obligations,Global Health & Child Survival,USAID,USAID Global Health,Vietnam,Health,Pandemic Influenza and Other Emerging Threats ,3423244.31
2009,4,Obligations,Economic Support Fund,USAID,Liberia,Liberia,"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building,3949000
2013,4,Obligations,N/A,USAID,Indonesia,Indonesia,Environment,Clean Productive Environment,11849535
2008,2,Obligations,N/A,MCC,Sri Lanka,Sri Lanka,Multi-Sector,Multi-Sector - Unspecified,-24395
2010,2,Obligations,Development Assistance,USAID,USAID Africa Regional,Africa Region,Education and Social Services,Basic Education,2453688.3
2010,3,Obligations,"Assistance for Europe, Eurasia and Central Asia",USAID,Georgia,Georgia,Program Management,Direct Administrative Costs,516290.33
2014,2,Obligations,Global Health & Child Survival,USAID,West Africa Region,West Africa Region,Health,Nutrition,67244.8
2009,4,Obligations,N/A,MCC,MCC - General Office,MCC - General Office,Multi-Sector,Multi-Sector - Unspecified,1856593.02
2013,3,Obligations,Economic Support Fund,USAID,Egypt,Egypt,Program Management,Direct Administrative Costs,1152899.63
2014,2,Obligations,Global Health & Child Survival,USAID,Burma,Burma,Program Management,Monitoring and Evaluation,24676.5
2010,4,Obligations,Commodity Credit Corp Title II and III,USAID,"USAID Democracy, Conflict and Humanitarian Assistance","Sudan, Pre-2011 Election",Humanitarian Assistance,"Protection, Assistance and Solutions",29385783.6
2011,4,Obligations,Development Assistance,USAID,Malawi,Malawi,"Democracy, Human Rights, and Governance",Civil Society,500000
2012,1,Obligations,Development Assistance,USAID,USAID West Africa Regional,West Africa Region,Environment,Clean Productive Environment,9565200
2009,1,Obligations,Development Assistance,USAID,Uganda,Uganda,"Democracy, Human Rights, and Governance",Good Governance,-101421
2012,4,Obligations,Child Survival and Health Programs Fund,USAID,USAID Operating Expense,Worldwide,Health,HIV/AIDS,1.89
2013,3,Obligations,N/A,USAID,South America Region,South America Region,Environment,Natural Resources and Biodiversity,5000000
2013,4,Obligations,N/A,USAID,Ghana,Ghana,Education and Social Services,Social Assistance,50000
2010,1,Obligations,Assist. For N.I.S Of Former Soviet Union,USAID,Georgia,Georgia,"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building,-1281.48
2011,2,Obligations,Operating Expenses,USAID,Cyprus,Worldwide,Program Management,Direct Administrative Costs,99820.10000000001
2011,4,Obligations,International Disaster Assistance,USAID,"USAID Democracy, Conflict and Humanitarian Assistance","Bahamas, The",Humanitarian Assistance,"Protection, Assistance and Solutions",57205
2012,4,Obligations,HIV/AIDS WCF,USAID,USAID Global Health,Worldwide,Health,HIV/AIDS,151128772
2010,1,Obligations,N/A,Peace Corps,Belize,Belize,,Environment - General,18298.41
2011,1,Obligations,Economic Support Fund,USAID,Cambodia,Cambodia,Program Management,Direct Administrative Costs,15717.92
2012,4,Obligations,Complex Crises Fund,USAID,Kenya,Kenya,Peace and Security,Conflict Mitigation and Reconciliation,2000000
2009,3,Obligations,Operating Expenses,USAID,India,Worldwide,Program Management,Direct Administrative Costs,1414704.96
2012,3,Obligations,N/A,USAID,Madagascar,Madagascar,Economic Development,Economic Opportunity,400
2012,4,Obligations,Assist. For N.I.S Of Former Soviet Union,USAID,Russia,Russia,"Democracy, Human Rights, and Governance",Good Governance,-1658.23
2014,2,Obligations,N/A,Peace Corps,Bulgaria,Bulgaria,,Economic Development - General,-.11
2013,1,Obligations,Global Health & Child Survival,USAID,Malawi,Malawi,Program Management,Direct Administrative Costs,294733.32
2012,2,Obligations,Transition Initiatives,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Colombia,"Democracy, Human Rights, and Governance",Good Governance,-19364.61
2011,3,Obligations,Gifts and Donations,USAID,Azerbaijan,Azerbaijan,Economic Development,Private Sector Competitiveness,2000000
2009,4,Obligations,Global Health & Child Survival,USAID,USAID Latin America and Caribbean Regional,Bolivia,Health,Maternal and Child Health,-1067.64
2013,1,Obligations,N/A,USAID,West Africa Region,West Africa Region,Peace and Security,Counterterrorism,410000
2009,1,Obligations,Global Health & Child Survival,USAID,USAID Global Health,Worldwide,Health,Pandemic Influenza and Other Emerging Threats ,32696.7
2013,2,Obligations,Global Health & Child Survival,USAID,Uganda,Uganda,Health,Maternal and Child Health,1959639.21
2009,4,Obligations,Assist. For N.I.S Of Former Soviet Union,USAID,Moldova,Moldova,Program Management,Monitoring and Evaluation,-4289.78
2013,4,Obligations,Economic Support Fund,USAID,Sudan,Sudan,Program Management,Monitoring and Evaluation,201186.51
2012,3,Obligations,Transition Initiatives,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Kenya,Program Management,Direct Administrative Costs,160452.17
2010,1,Obligations,N/A,Peace Corps,Ecuador,Ecuador,,Health - General,782655.09
2011,3,Obligations,N/A,MCC,Malawi,Malawi,Education and Social Services,Social Assistance,260000
2009,2,Obligations,Development Assistance,USAID,Asia Middle East Regional,Asia Region,Education and Social Services,Basic Education,8937.25
2010,4,Obligations,Development Assistance,USAID,Sri Lanka,Sri Lanka,Peace and Security,Conflict Mitigation and Reconciliation,1350000
2012,2,Obligations,Development Assistance,USAID,Indonesia,Indonesia,Program Management,Monitoring and Evaluation,560000
2011,2,Obligations,Development Assistance,USAID,Pakistan,Pakistan,Program Management,Monitoring and Evaluation,0
2011,2,Obligations,Economic Support Fund,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Venezuela,Program Management,Direct Administrative Costs,25915.89
2011,4,Obligations,Global Health & Child Survival,USAID,"Sudan, Pre-2011 Election","Sudan, Pre-2011 Election",Health,HIV/AIDS,40000
2013,2,Obligations,International Disaster Assistance,USAID,Jordan,Jordan,Humanitarian Assistance,"Protection, Assistance and Solutions",5001500
2012,3,Obligations,Global Health & Child Survival,USAID,Madagascar,Madagascar,Program Management,Monitoring and Evaluation,1086422
2012,2,Obligations,Development Assistance,USAID,Asia Middle East Regional,Asia Region,Education and Social Services,Basic Education,-1545.75
2010,3,Obligations,Democracy Fund,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Moldova,"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building,750000
2012,1,Obligations,Development Assistance,USAID,USAID Operating Expense,Worldwide,Program Management,Monitoring and Evaluation,80.49
2012,1,Obligations,Economic Support Fund,USAID,Iraq,Iraq,Economic Development,Economic Opportunity,15000000
2013,2,Obligations,N/A,USAID,Ghana,Ghana,Environment,Natural Resources and Biodiversity,1140000
2014,2,Obligations,Economic Support Fund,USAID,Kosovo,Kosovo,"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building,1300000
2012,,Obligations,N/A,IAF,Paraguay,Paraguay,,Agriculture,283625
2012,3,Obligations,N/A,USAID,Niger,Niger,Humanitarian Assistance,"Protection, Assistance and Solutions",7122700
2009,4,Obligations,Global Health & Child Survival,USAID,Tanzania,Tanzania,Health,Maternal and Child Health,6192000
2013,2,Obligations,N/A,USAID,Uganda,Uganda,Education and Social Services,Basic Education,765720.76
2012,4,Obligations,"Assistance for Europe, Eurasia and Central Asia",USAID,Georgia,Georgia,Health,Maternal and Child Health,3000000
2013,3,Obligations,N/A,USAID,Worldwide,Worldwide,Health,Water Supply and Sanitation,2258498.58
2009,2,Obligations,N/A,MCC,Lesotho,Lesotho,Health,Family Planning and Reproductive Health,-25000
2010,2,Obligations,Development Assistance,USAID,USAID Latin America and Caribbean Regional,Colombia,Environment,Natural Resources and Biodiversity,11341
2006,4,Obligations,N/A,MCC,Mozambique,Mozambique,Economic Development,Private Sector Competitiveness,2018219
2013,1,Obligations,N/A,USAID,Nicaragua,Nicaragua,"Democracy, Human Rights, and Governance",Civil Society,550000
2012,1,Obligations,N/A,DOS,State Western Hemisphere Regional,State Western Hemisphere Regional,,Multi-Sector - Unspecified,80547.64999999999
2009,4,Obligations,Economic Support Fund,USAID,Mozambique,Mozambique,Health,Maternal and Child Health,500000
2011,4,Obligations,Special Assistance Initiatives,USAID,USAID Operating Expense,Worldwide,"Democracy, Human Rights, and Governance",Good Governance,52.75
2010,3,Obligations,IG Operating Expenses,USAID,USAID Operating Expense,Worldwide,Program Management,Direct Administrative Costs,-6177.94
2009,4,Obligations,Development Assistance,USAID,Rwanda,Rwanda,Program Management,Monitoring and Evaluation,800000
2011,2,Obligations,Child Survival and Health Programs Fund,USAID,Afghanistan,Afghanistan,Health,Tuberculosis,0
2010,3,Obligations,Special Assistance Initiatives,USAID,Macedonia,Macedonia,Education and Social Services,Basic Education,-224.28
2012,4,Obligations,Development Assistance,USAID,USAID Africa Regional,Rwanda,Education and Social Services,Basic Education,114245.13
2013,1,Obligations,Economic Support Fund,USAID,Bangladesh,Bangladesh,Humanitarian Assistance,Disaster Readiness,-636.33
2013,1,Obligations,N/A,USAID,Morocco,Morocco,Economic Development,Trade and Investment,500000
2013,4,Obligations,N/A,USAID,Malawi,Malawi,Program Management,Monitoring and Evaluation,44767.41
2013,3,Obligations,N/A,USAID,Nigeria,Nigeria,Education and Social Services,Basic Education,1000000
2011,3,Obligations,Global Health & Child Survival,USAID,"Sudan, Pre-2011 Election","Sudan, Pre-2011 Election",Health,Maternal and Child Health,743343
2012,1,Obligations,Economic Support Fund,USAID,Jordan,Jordan,Economic Development,Private Sector Competitiveness,45132000
2012,1,Obligations,Development Assistance,USAID,USAID Southern Africa Regional,South Africa Region,Economic Development,Trade and Investment,-5667570
2011,3,Obligations,Operating Expenses,USAID,USAID Middle East Regional,Worldwide,Program Management,Direct Administrative Costs,1256757.28
2013,2,Obligations,Economic Support Fund,USAID,Afghanistan,Afghanistan,Peace and Security,Conflict Mitigation and Reconciliation,41421077.22
2012,4,Obligations,Global Health & Child Survival,USAID,USAID Global Health,Vietnam,Health,Pandemic Influenza and Other Emerging Threats ,1836665.21
2012,3,Obligations,Economic Support Fund,USAID,Pakistan,Pakistan,Health,Other Public Health Threats,8166000
2011,2,Obligations,Operating Expenses,USAID,Djibouti,Worldwide,Program Management,Direct Administrative Costs,105675.22
2012,4,Obligations,Development Assistance,USAID,Dominican Republic,Dominican Republic,Economic Development,Agriculture,2000000
2012,1,Obligations,Commodity Credit Corp Title II and III,USAID,"USAID Democracy, Conflict and Humanitarian Assistance","Sudan, Pre-2011 Election",Humanitarian Assistance,"Protection, Assistance and Solutions",-344.15
2011,4,Obligations,Global Health & Child Survival,USAID,Paraguay,Paraguay,Health,Family Planning and Reproductive Health,-82.43000000000001
2013,1,Obligations,Economic Support Fund,USAID,Liberia,Liberia,Education and Social Services,Basic Education,10449872.81
2013,2,Obligations,Economic Support Fund,USAID,Honduras,Honduras,"Democracy, Human Rights, and Governance",Good Governance,6316506.44
2013,1,Obligations,International Disaster Assistance,USAID,South America Region,South America Region,Program Management,Direct Administrative Costs,3938
2014,1,Obligations,N/A,Peace Corps,Madagascar,Madagascar,,Environment - General,117529.3
2011,4,Obligations,Economic Support Fund,USAID,Haiti,Haiti,Economic Development,Agriculture,34000000
2013,3,Obligations,N/A,USAID,El Salvador,El Salvador,Economic Development,Trade and Investment,1380000
2011,1,Obligations,N/A,MCC,Lesotho,Lesotho,Multi-Sector,Multi-Sector - Unspecified,87165.42
2012,4,Obligations,Development Assistance,USAID,Burkina Faso,Burkina Faso,Education and Social Services,Social Assistance,50000
2014,2,Obligations,Economic Support Fund,USAID,Afghanistan,Afghanistan,Health,Water Supply and Sanitation,18551433.65
2010,4,Obligations,"Assistance for Europe, Eurasia and Central Asia",USAID,Turkmenistan,Turkmenistan,Education and Social Services,Higher Education,600510
2012,1,Obligations,Economic Support Fund,USAID,USAID Operating Expense,Somalia,Education and Social Services,Basic Education,125000
2012,1,Obligations,Global Health & Child Survival,USAID,USAID Operating Expense,Worldwide,Health,HIV/AIDS,294.27
2013,4,Obligations,Assist. For N.I.S Of Former Soviet Union,USAID,Tajikistan,Tajikistan,Economic Development,Agriculture,-216.07
2012,1,Obligations,Capital Investment Fund,USAID,USAID Regional Development Mission-Asia,Worldwide,Program Management,Direct Administrative Costs,-14622.46
2009,2,Obligations,Development Assistance,USAID,USAID Latin America and Caribbean Regional,El Salvador,Environment,Clean Productive Environment,-28609.21
2011,3,Obligations,Global Health & Child Survival,USAID,USAID Global Health,Vietnam,Health,Maternal and Child Health,-2351.04
2013,3,Obligations,Economic Support Fund,USAID,Philippines,Philippines,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,-20175.83
2010,4,Obligations,Development Assistance,USAID,USAID Office of Development Partners,Ukraine,Program Management,Monitoring and Evaluation,-5061.14
2010,4,Obligations,Economic Support Fund,USAID,Mongolia,Mongolia,Education and Social Services,Social Assistance,1350000
2012,4,Obligations,Commodity Credit Corp Title II and III,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Sri Lanka,Humanitarian Assistance,"Protection, Assistance and Solutions",-16074.09
2012,4,Obligations,Housing Guaranty Financing Account,USAID,"USAID Economic Growth, Education and Environment",Worldwide,Economic Development,Financial Sector,16385840
2013,4,Obligations,Economic Support Fund,USAID,Ecuador,Ecuador,Program Management,Direct Administrative Costs,-100000
2011,4,Obligations,Transition Initiatives,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Libya,Peace and Security,Conflict Mitigation and Reconciliation,3527786
2009,3,Obligations,Development Assistance,USAID,Vietnam,Vietnam,Program Management,Direct Administrative Costs,12021.19
2010,4,Obligations,Transition Initiatives,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Uganda,Program Management,Monitoring and Evaluation,-4302.85
2010,3,Obligations,Commodity Credit Corp Title II and III,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Haiti,Humanitarian Assistance,"Protection, Assistance and Solutions",6470655
2012,2,Obligations,N/A,MCC,Morocco,Morocco,Multi-Sector,Multi-Sector - Unspecified,428494.35
2011,2,Obligations,Assist. For N.I.S Of Former Soviet Union,USAID,Tajikistan,Tajikistan,Economic Development,Agriculture,-50
2010,4,Obligations,Development Assistance,USAID,Vietnam,Vietnam,Economic Development,Financial Sector,474480
2014,2,Obligations,Economic Support Fund,USAID,Morocco,Morocco,Program Management,Monitoring and Evaluation,24472
2009,4,Obligations,Economic Support Fund,USAID,China,Burma,Education and Social Services,Social Services,25870
2011,4,Obligations,International Disaster Assistance,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Egypt,Humanitarian Assistance,"Protection, Assistance and Solutions",-29391.63
2011,4,Obligations,Development Assistance,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Africa Region,Humanitarian Assistance,"Protection, Assistance and Solutions",4865110
2011,4,Obligations,Global Health & Child Survival,USAID,USAID Regional Development Mission-Asia,East Asia Region,Health,Tuberculosis,906390
2013,2,Obligations,Economic Support Fund,USAID,Djibouti,Djibouti,Education and Social Services,Basic Education,-17339.31
2011,3,Obligations,Special Assistance Initiatives,USAID,USAID Operating Expense,Worldwide,Economic Development,Trade and Investment,162.89
2012,2,Obligations,Development Assistance,USAID,Mexico,Mexico,Economic Development,Economic Opportunity,-1222.05
2010,4,Obligations,International Disaster Assistance,USAID,"USAID Democracy, Conflict and Humanitarian Assistance","Congo, Democratic Republic of",Program Management,Direct Administrative Costs,322551
2011,4,Obligations,Global Health & Child Survival,USAID,USAID South America Regional,Peru,Program Management,Direct Administrative Costs,358000
2013,2,Obligations,N/A,USAID,Moldova,Moldova,Program Management,Monitoring and Evaluation,975.75
2014,2,Obligations,Economic Support Fund,USAID,Serbia,Serbia,Program Management,Direct Administrative Costs,70593.53999999999
2010,2,Obligations,International Disaster Assistance,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",South Africa Region,Program Management,Direct Administrative Costs,11887
2009,4,Obligations,Economic Support Fund,USAID,Somalia,Somalia,Education and Social Services,Basic Education,5623224
2009,3,Obligations,"Assistance for Europe, Eurasia and Central Asia",USAID,Kyrgyz Republic,Kosovo,Economic Development,Economic Opportunity,400000
2011,4,Obligations,Child Survival and Health Programs Fund,USAID,Angola,Angola,Health,HIV/AIDS,-5603.78
2013,3,Obligations,N/A,USAID,Dominican Republic,Dominican Republic,Economic Development,Private Sector Competitiveness,737028.28
2009,3,Obligations,Operating Expenses,USAID,Vietnam,Worldwide,Program Management,Direct Administrative Costs,149552.57
2009,3,Obligations,Economic Support Fund,USAID,West Bank and Gaza,West Bank and Gaza,Economic Development,Trade and Investment,3750000
2009,4,Obligations,Global Health & Child Survival,USAID,Joint Eurasia Regional,Eurasia Region,Health,HIV/AIDS,446000
2010,3,Obligations,Development Assistance,USAID,USAID Operating Expense,Worldwide,Peace and Security,Conflict Mitigation and Reconciliation,.63
2012,4,Obligations,Global Health & Child Survival,USAID,Guinea,Guinea,Health,Maternal and Child Health,1191000
2011,4,Obligations,Economic Support Fund,USAID,Jordan,Jordan,Economic Development,Macroeconomic Foundation for Growth,189000000
2013,4,Obligations,Democracy Fund,USAID,Sri Lanka,Sri Lanka,Program Management,Direct Administrative Costs,-5852.43
2009,3,Obligations,Assist. For N.I.S Of Former Soviet Union,USAID,Kyrgyz Republic,Kosovo,Economic Development,Macroeconomic Foundation for Growth,6077
2011,4,Obligations,Child Survival and Health Programs Fund,USAID,USAID Global Health,Worldwide,Health,HIV/AIDS,3765140
2009,3,Obligations,International Disaster Assistance,USAID,"USAID Democracy, Conflict and Humanitarian Assistance","Sudan, Pre-2011 Election",Program Management,Direct Administrative Costs,646634
2012,4,Obligations,Development Assistance,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Kenya,Environment,Clean Productive Environment,500000
2014,2,Obligations,Economic Support Fund,USAID,"Sudan, Pre-2011 Election","Sudan, Pre-2011 Election",Economic Development,Infrastructure,29.57
2012,1,Obligations,"Assistance for Europe, Eurasia and Central Asia",USAID,Kazakhstan,Kazakhstan,"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building,115545
2012,4,Obligations,Democracy Fund,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Tunisia,"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building,1000000
2013,2,Obligations,Economic Support Fund,USAID,South Sudan,South Sudan,Economic Development,Agriculture,11590000
2011,3,Obligations,Operating Expenses,USAID,Yemen,Worldwide,Program Management,Direct Administrative Costs,649816.1899999999
2008,4,Obligations,N/A,MCC,Tanzania,Tanzania,Economic Development,Infrastructure,574169000
2014,2,Obligations,N/A,USAID,Nigeria,Nigeria,Education and Social Services,Basic Education,5665344.13
2010,3,Obligations,Assist. For N.I.S Of Former Soviet Union,USAID,Joint Eurasia Regional,Eurasia Region,Economic Development,Private Sector Competitiveness,-243.09
2012,1,Obligations,N/A,DOS,Guatemala,Guatemala,,Multi-Sector - Unspecified,56094.79
2012,1,Obligations,Capital Investment Fund,USAID,Bureau for Management (USAID),Worldwide,Program Management,Direct Administrative Costs,970636.11
2014,2,Obligations,Global Health & Child Survival,USAID,Central Asia Region,Central Asia Region,Health,HIV/AIDS,3816244.6
2010,1,Obligations,Development Assistance,USAID,Kenya,Kenya,Education and Social Services,Social Assistance,85000
2009,3,Obligations,Special Assistance Initiatives,USAID,Joint Eurasia Regional,Eastern European Region,Economic Development,Infrastructure,312
2010,3,Obligations,International Disaster Assistance,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Georgia,Program Management,Direct Administrative Costs,-763.88
2012,4,Obligations,Economic Support Fund,USAID,Sudan,Sudan,Program Management,Monitoring and Evaluation,510539
2013,3,Obligations,Economic Support Fund,USAID,Indonesia,Indonesia,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,-55278.76
2013,4,Obligations,N/A,USAID,Central Africa Region Program for Environment,Central Africa Region Program for Environment,Program Management,Direct Administrative Costs,130672.23
2013,1,Obligations,N/A,Peace Corps,Malawi,Malawi,,Health - General,752914.51
2009,1,Obligations,International Disaster Assistance,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Asia Region,Humanitarian Assistance,"Protection, Assistance and Solutions",13415
2013,2,Obligations,International Disaster Assistance,USAID,South Africa Region,South Africa Region,Humanitarian Assistance,Disaster Readiness,1300000
